id,product_id,family_id,manufacturer_id,model_name,full_name,release_year,discontinued_year,status,category,design,driver_type,driver_size_mm,impedance_ohms,sensitivity_db,wireless,anc,predecessor,successor,notes,date_added,fit,msrp_usd,sound_signature,connector_type,detachable_cable,weight_g,spec_confidence
12,SONY_WH1000XM6,1,1,WH-1000XM6,Sony WH-1000XM6,2025,,Active,Headphone,Closed Back,Dynamic,30,16,100,Yes,Yes,SONY_WH1000XM5,,"Foldable redesign, QN3 processor",,Over-Ear,450,V-Shaped,Wireless,No,254,Estimated
13,SONY_WHH900N,1,1,WH-H900N,Sony WH-H900N (h.ear on 2),2017,,Discontinued,Headphone,Closed Back,Dynamic,40,48,101,Yes,Yes,,,,,On-Ear,300,,,,,Estimated
14,SONY_ULTWEAR,3,1,ULT WEAR,Sony ULT WEAR,2024,,Active,Headphone,Closed Back,Dynamic,40,16,100,Yes,Yes,,,Bass-focused ANC,,Over-Ear,200,,,,,Estimated
15,SENN_HD600,4,2,HD 600,Sennheiser HD 600,1997,,Legacy Active,Headphone,Open Back,Dynamic,,300,97,No,No,,SENN_HD650,"Reference open-back, still in production",,Over-Ear,400,Neutral,Sennheiser 2-pin,Yes,260,Verified
16,SENN_HD650,4,2,HD 650,Sennheiser HD 650,2003,,Legacy Active,Headphone,Open Back,Dynamic,,300,103,No,No,SENN_HD600,SENN_HD660S,,,Over-Ear,500,Warm Neutral,Sennheiser 2-pin,Yes,260,Verified
17,SENN_HD700,4,2,HD 700,Sennheiser HD 700,2012,,Discontinued,Headphone,Open Back,Dynamic,,150,103,No,No,,,,,Over-Ear,1000,,,,,Estimated
18,SENN_HD800,4,2,HD 800,Sennheiser HD 800,2009,,Legacy Active,Headphone,Open Back,Dynamic,56,300,102,No,No,,SENN_HD800S,56mm ring radiator,,Over-Ear,1500,Bright,Sennheiser twist-lock,Yes,330,Verified
19,SENN_HD800S,4,2,HD 800 S,Sennheiser HD 800 S,2015,,Active,Headphone,Open Back,Dynamic,56,300,102,No,No,SENN_HD800,,,,Over-Ear,1700,Neutral Bright,Sennheiser twist-lock,Yes,330,Verified
20,SENN_HD820,4,2,HD 820,Sennheiser HD 820,2018,,Active,Headphone,Closed Back,Dynamic,56,300,103,No,No,,,"Closed-back flagship, glass earcups",,Over-Ear,2400,Bright,Sennheiser twist-lock,Yes,380,Verified
21,SENN_HD660S,4,2,HD 660S,Sennheiser HD 660S,2017,,Discontinued,Headphone,Open Back,Dynamic,,150,104,No,No,SENN_HD650,SENN_HD660S2,,,Over-Ear,500,Warm Neutral,Sennheiser 2-pin,Yes,260,Verified
22,SENN_HD660S2,4,2,HD 660S2,Sennheiser HD 660S2,2023,,Active,Headphone,Open Back,Dynamic,38,300,104,No,No,SENN_HD660S,,,,Over-Ear,600,Warm Neutral,Sennheiser 2-pin,Yes,260,Verified
23,SENN_HD560S,4,2,HD 560S,Sennheiser HD 560S,2020,,Active,Headphone,Open Back,Dynamic,,120,110,No,No,,,Reference value pick,,Over-Ear,200,Neutral,3.5mm,Yes,240,Estimated
24,SENN_HD400PRO,4,2,HD 400 Pro,Sennheiser HD 400 Pro,2021,,Active,Headphone,Open Back,Dynamic,,120,110,No,No,,,Budget open-back reference; replaceable earpads,,Over-Ear,100,,,,,Estimated
25,SENN_HD620S,4,2,HD 620S,Sennheiser HD 620S,2024,,Active,Headphone,Closed Back,Dynamic,,150,107,No,No,,,Closed-back addition to 600 line,,Over-Ear,450,,Sennheiser 2-pin,Yes,330,Verified
26,SENN_HD550,4,2,HD 550,Sennheiser HD 550,2025,,Active,Headphone,Open Back,Dynamic,,50,112,No,No,,,,,Over-Ear,350,,,,,Estimated
27,SENN_MOMENTUM,5,2,Momentum,Sennheiser Momentum,2013,,Discontinued,Headphone,Closed Back,Dynamic,42,18,110,No,No,,SENN_MOMENTUM2,Original Momentum over-ear,,On-Ear,280,,,,,Estimated
28,SENN_MOMENTUM2,5,2,Momentum 2.0,Sennheiser Momentum 2.0,2015,,Discontinued,Headphone,Closed Back,Dynamic,42,18,113,No,No,SENN_MOMENTUM,SENN_MOMENTUM3,,,Over-Ear,350,,,,190,Estimated
29,SENN_MOMENTUM3,5,2,Momentum 3 Wireless,Sennheiser Momentum 3 Wireless,2019,,Discontinued,Headphone,Closed Back,Dynamic,42,18,106,Yes,Yes,SENN_MOMENTUM2,SENN_MOMENTUM4,,,Over-Ear,350,V-Shaped,Wireless,No,,Verified
30,SENN_MOMENTUM4,5,2,Momentum 4 Wireless,Sennheiser Momentum 4 Wireless,2022,,Active,Headphone,Closed Back,Dynamic,42,18,107,Yes,Yes,SENN_MOMENTUM3,SENN_MOMENTUM5,,,Over-Ear,350,V-Shaped,Wireless,No,293,Verified
31,SENN_MOMENTUM5,5,2,Momentum 5 Wireless,Sennheiser Momentum 5 Wireless,2024,,Active,Headphone,Closed Back,Dynamic,42,18,107,Yes,Yes,SENN_MOMENTUM4,,,,Over-Ear,400,V-Shaped,Wireless,No,293,Verified
32,SENN_HDB630,6,2,HDB 630,Sennheiser HDB 630,2025,,Active,Headphone,Closed Back,Dynamic,40,32,107,Yes,Yes,,,First wireless model in the audiophile 600 line,,Over-Ear,450,,,,355,Estimated
33,SENN_ACCENTUM,7,2,Accentum Wireless,Sennheiser Accentum Wireless,2023,,Active,Headphone,Closed Back,Dynamic,36,18,107,Yes,Yes,,SENN_ACCENTUMPLUS,,,Over-Ear,230,V-Shaped,Wireless,No,240,Estimated
34,SENN_ACCENTUMPLUS,7,2,Accentum Plus,Sennheiser Accentum Plus Wireless,2024,,Active,Headphone,Closed Back,Dynamic,36,18,107,Yes,Yes,SENN_ACCENTUM,,,,Over-Ear,280,V-Shaped,Wireless,No,280,Estimated
35,PHIL_X1,8,3,X1,Philips Fidelio X1,2012,,Discontinued,Headphone,Open Back,Dynamic,50,30,100,No,No,,PHIL_X2,,,Over-Ear,,,,,,Estimated
36,PHIL_X2,8,3,X2,Philips Fidelio X2,2014,,Discontinued,Headphone,Open Back,Dynamic,50,30,100,No,No,PHIL_X1,PHIL_X2HR,,,Over-Ear,,,,,,Estimated
37,PHIL_X2HR,8,3,X2HR,Philips Fidelio X2HR,2017,,Active,Headphone,Open Back,Dynamic,50,30,100,No,No,PHIL_X2,PHIL_X3,Popular open-back value pick,,Over-Ear,,,,,,Estimated
38,PHIL_X3,8,3,X3,Philips Fidelio X3,2020,,Active,Headphone,Open Back,Dynamic,50,30,100,No,No,PHIL_X2HR,,,,Over-Ear,,,,,,Estimated
39,PHIL_L2,8,3,L2,Philips Fidelio L2,2013,,Discontinued,Headphone,Open Back,Dynamic,,32,100,No,No,,PHIL_L3,,,Over-Ear,,,,,,Estimated
40,PHIL_L3,8,3,L3,Philips Fidelio L3,2021,,Active,Headphone,Closed Back,Dynamic,,32,100,Yes,Yes,PHIL_L2,,,,Over-Ear,,,,,,Estimated
41,PHIL_SHP9500,9,3,SHP9500,Philips SHP9500,2014,,Active,Headphone,Open Back,Dynamic,50,32,101,No,No,,,Budget open-back favorite,,Over-Ear,,,,,,Estimated
42,ATECH_M40X,10,4,ATH-M40x,Audio-Technica ATH-M40x,2014,,Active,Studio,Closed Back,Dynamic,40,35,98,No,No,,,,,Over-Ear,100,Neutral,,No,240,Verified
43,ATECH_M50X,10,4,ATH-M50x,Audio-Technica ATH-M50x,2014,,Active,Studio,Closed Back,Dynamic,45,38,99,No,No,,,Best-selling studio monitor,,Over-Ear,150,U-Shaped,,Yes,285,Verified
44,ATECH_M60X,10,4,ATH-M60x,Audio-Technica ATH-M60x,2019,,Active,Studio,Closed Back,Dynamic,45,28,106,No,No,,,,,Over-Ear,150,,,,,Estimated
45,ATECH_M70X,10,4,ATH-M70x,Audio-Technica ATH-M70x,2015,,Active,Studio,Closed Back,Dynamic,45,35,97,No,No,,,,,Over-Ear,200,Analytical,,Yes,300,Verified
46,ATECH_M50XBT,10,4,ATH-M50xBT,Audio-Technica ATH-M50xBT,2018,,Discontinued,Headphone,Closed Back,Dynamic,45,32,99,Yes,No,,ATECH_M50XBT2,,,Over-Ear,180,U-Shaped,Wireless,Yes,,Estimated
47,ATECH_M50XBT2,10,4,ATH-M50xBT2,Audio-Technica ATH-M50xBT2,2021,,Active,Headphone,Closed Back,Dynamic,45,32,99,Yes,No,ATECH_M50XBT,,,,Over-Ear,200,U-Shaped,Wireless,Yes,,Estimated
48,ATECH_MSR7,14,4,ATH-MSR7,Audio-Technica ATH-MSR7,2014,,Discontinued,Headphone,Closed Back,Dynamic,45,36,102,No,No,,,,,Over-Ear,249,,,,,Estimated
49,ATECH_R70X,11,4,ATH-R70x,Audio-Technica ATH-R70x,2015,,Active,Studio,Open Back,Dynamic,,470,99,No,No,,ATECH_R70XA,First A-T open-back reference,,Over-Ear,350,Neutral,A2DC,Yes,210,Verified
50,ATECH_R70XA,11,4,ATH-R70xa,Audio-Technica ATH-R70xa,2025,,Active,Studio,Open Back,Dynamic,,470,99,No,No,ATECH_R70X,,,,Over-Ear,349,,,,,Estimated
51,ATECH_R50X,11,4,ATH-R50x,Audio-Technica ATH-R50x,2025,,Active,Studio,Open Back,Dynamic,,39,98,No,No,,,,,Over-Ear,159,,,,,Estimated
52,ATECH_R30X,11,4,ATH-R30x,Audio-Technica ATH-R30x,2025,,Active,Studio,Open Back,Dynamic,,44,98,No,No,,,,,Over-Ear,99,,,,,Estimated
53,ATECH_ADX5000,12,4,ATH-ADX5000,Audio-Technica ATH-ADX5000,2017,,Active,Headphone,Open Back,Dynamic,58,420,100,No,No,,,Flagship open-back,,Over-Ear,1000,Neutral,A2DC,Yes,270,Verified
54,ATECH_ADX3000,12,4,ATH-ADX3000,Audio-Technica ATH-ADX3000,2025,,Active,Headphone,Open Back,Dynamic,58,48,101,No,No,,,,,Over-Ear,1099,,,,,Estimated
55,ATECH_AD700X,12,4,ATH-AD700X,Audio-Technica ATH-AD700X,2012,,Active,Headphone,Open Back,Dynamic,53,38,100,No,No,,,,,Over-Ear,149,,,,,Estimated
56,ATECH_AD900X,12,4,ATH-AD900X,Audio-Technica ATH-AD900X,2012,,Active,Headphone,Open Back,Dynamic,53,38,100,No,No,,,,,Over-Ear,229,,,,,Estimated
57,ATECH_WP900,13,4,ATH-WP900,Audio-Technica ATH-WP900,2019,,Active,Headphone,Closed Back,Dynamic,53,38,100,No,No,,,Flame maple wood earcups,,Over-Ear,400,,,Yes,,Estimated
58,ATECH_AWKT,13,4,ATH-AWKT,Audio-Technica ATH-AWKT,2019,,Active,Headphone,Closed Back,Dynamic,53,48,100,No,No,,,Ebony wood,,Over-Ear,1899,,,,,Estimated
59,AKG_K702,15,5,K702,AKG K702,2009,,Legacy Active,Headphone,Open Back,Dynamic,45,62,105,No,No,,,Reference open-back,,Over-Ear,200,Neutral Bright,mini-XLR,Yes,235,Verified
60,AKG_K612,15,5,K612 Pro,AKG K612 Pro,2011,,Active,Headphone,Open Back,Dynamic,50,120,101,No,No,,,,,Over-Ear,200,,,,,Estimated
61,AKG_K812,15,5,K812,AKG K812,2013,,Active,Headphone,Open Back,Dynamic,53,36,110,No,No,,,Reference flagship,,Over-Ear,1500,Neutral Bright,3.5mm,Yes,390,Verified
62,AKG_K712,15,5,K712 Pro,AKG K712 Pro,2014,,Active,Headphone,Open Back,Dynamic,50,62,105,No,No,,,,,Over-Ear,350,Neutral Bright,mini-XLR,Yes,235,Verified
63,AKG_K371,15,5,K371,AKG K371,2019,,Active,Headphone,Closed Back,Dynamic,50,32,114,No,No,,,Harman-tuned closed-back,,Over-Ear,150,Neutral,,No,239,Verified
64,AKG_K361,15,5,K361,AKG K361,2019,,Active,Headphone,Closed Back,Dynamic,50,32,110,No,No,,,,,Over-Ear,100,Neutral,,No,225,Verified
65,AKG_N700NC,16,5,N700NC,AKG N700NC,2018,,Discontinued,Headphone,Closed Back,Dynamic,,32,114,Yes,Yes,,AKG_N700NCM2,,,Over-Ear,300,,Wireless,,303,Estimated
66,AKG_N700NCM2,16,5,N700NC M2,AKG N700NC M2,2019,,Active,Headphone,Closed Back,Dynamic,,32,114,Yes,Yes,AKG_N700NC,,,,Over-Ear,300,,,,295,Estimated
67,AKG_N90Q,16,5,N90Q,AKG N90Q,2016,,Discontinued,Headphone,Closed Back,Dynamic,50,40,110,No,Yes,,,Tuned by Quincy Jones,,Over-Ear,1500,,,,,Estimated
68,BEYER_DT770PRO,17,6,DT 770 Pro,Beyerdynamic DT 770 Pro,1985,,Legacy Active,Studio,Closed Back,Dynamic,45,250,96,No,No,,,"Studio classic, still produced",,Over-Ear,170,Analytical,3.5mm/6.35mm,No,270,Verified
69,BEYER_DT880,17,6,DT 880,Beyerdynamic DT 880,1980,,Legacy Active,Headphone,Semi-Open,Dynamic,45,250,96,No,No,,BEYER_DT880_2005,Original semi-open classic,,Over-Ear,300,,,,,Estimated
70,BEYER_DT990PRO,17,6,DT 990 Pro,Beyerdynamic DT 990 Pro,1985,,Legacy Active,Studio,Open Back,Dynamic,45,250,96,No,No,,,,,Over-Ear,180,Bright,3.5mm/6.35mm,No,250,Verified
71,BEYER_DT1770,17,6,DT 1770 Pro,Beyerdynamic DT 1770 Pro,2016,,Active,Studio,Closed Back,Dynamic,45,250,102,No,No,,,Tesla driver,,Over-Ear,550,,,,,Estimated
72,BEYER_DT1990,17,6,DT 1990 Pro,Beyerdynamic DT 1990 Pro,2016,,Active,Studio,Open Back,Dynamic,45,250,102,No,No,,BEYER_DT1990MK2,,,Over-Ear,550,Analytical,mini-XLR,Yes,370,Verified
73,BEYER_DT1990MK2,17,6,DT 1990 Pro MkII,Beyerdynamic DT 1990 Pro MkII,2024,,Active,Studio,Open Back,Dynamic,45,30,94,No,No,BEYER_DT1990,,,,Over-Ear,600,Bright,mini-XLR,Yes,402,Verified
74,BEYER_DT700PROX,17,6,DT 700 Pro X,Beyerdynamic DT 700 Pro X,2022,,Active,Studio,Closed Back,Dynamic,45,48,100,No,No,,,Stellar.45 driver,,Over-Ear,300,Neutral,mini-XLR,Yes,340,Verified
75,BEYER_DT900PROX,17,6,DT 900 Pro X,Beyerdynamic DT 900 Pro X,2022,,Active,Studio,Open Back,Dynamic,45,48,100,No,No,,,,,Over-Ear,350,Neutral Bright,mini-XLR,Yes,340,Verified
76,BEYER_T1,18,6,T1,Beyerdynamic T1 (1st Gen),2009,,Discontinued,Headphone,Open Back,Dynamic,45,600,102,No,No,,BEYER_T1_2,Tesla flagship,,Over-Ear,1400,,,,,Estimated
77,BEYER_T1_2,18,6,T1 2nd Gen,Beyerdynamic T1 2nd Generation,2014,,Discontinued,Headphone,Open Back,Dynamic,45,600,102,No,No,BEYER_T1,BEYER_T1_3,,,Over-Ear,1000,,,,,Estimated
78,BEYER_T1_3,18,6,T1 3rd Gen,Beyerdynamic T1 3rd Generation,2020,,Active,Headphone,Open Back,Dynamic,45,32,100,No,No,BEYER_T1_2,,,,Over-Ear,1200,,,,,Estimated
79,BEYER_T5_3,18,6,T5 3rd Gen,Beyerdynamic T5 3rd Generation,2020,,Active,Headphone,Closed Back,Dynamic,45,32,100,No,No,,,Closed sibling of T1,,Over-Ear,1000,,,,,Estimated
80,BEYER_T5P,,6,T 5p,Beyerdynamic T 5p,2012,,Discontinued,Headphone,Closed Back,Dynamic,45,32,101,No,No,,BEYER_T5PMK2,Portable Tesla closed-back; 32Ω for easy driving; semi-open cups,,Over-Ear,600,U-Shaped,3.5mm,Yes,290,Estimated
81,BEYER_T5PMK2,,6,T 5p 2nd Generation,Beyerdynamic T 5p 2nd Generation,2016,,Active,Headphone,Closed Back,Dynamic,45,32,101,No,No,BEYER_T5P,,Updated portable Tesla closed-back; revised pads and cable,,Over-Ear,900,U-Shaped,3.5mm,Yes,310,Estimated
82,BEYER_AMIRON,19,6,Amiron Home,Beyerdynamic Amiron Home,2017,,Active,Headphone,Open Back,Dynamic,45,250,102,No,No,,,,,Over-Ear,600,Warm Neutral,,,340,Verified
83,BEYER_AMIRONW,19,6,Amiron Wireless,Beyerdynamic Amiron Wireless,2018,,Active,Headphone,Closed Back,Dynamic,,32,108,Yes,No,,,,,Over-Ear,700,,,,,Estimated
84,BEYER_AVENTHOW,18,6,Aventho Wireless,Beyerdynamic Aventho Wireless,2017,,Discontinued,Headphone,Closed Back,Dynamic,,32,108,Yes,No,,,,,On-Ear,450,,Wireless,,340,Estimated
85,BEYER_MMX300,20,6,MMX 300,Beyerdynamic MMX 300,2014,,Active,Gaming,Closed Back,Dynamic,45,250,96,No,No,,,Gaming headset,,Over-Ear,300,,,,363,Verified
86,BEYER_CUSTOM1,17,6,Custom One Pro,Beyerdynamic Custom One Pro,2012,,Active,Headphone,Closed Back,Dynamic,45,16,96,No,No,,,Adjustable bass sliders,,Over-Ear,200,,,,,Estimated
87,BOSE_QC25,21,7,QuietComfort 25,Bose QuietComfort 25,2014,,Discontinued,Headphone,Closed Back,Dynamic,40,30,107,No,Yes,,BOSE_QC35,,,Over-Ear,300,,,,,Estimated
88,BOSE_QC35,21,7,QuietComfort 35,Bose QuietComfort 35,2016,,Discontinued,Headphone,Closed Back,Dynamic,40,32,107,Yes,Yes,BOSE_QC25,BOSE_QC35II,,,Over-Ear,300,,,,,Estimated
89,BOSE_QC35II,21,7,QuietComfort 35 II,Bose QuietComfort 35 II,2017,,Discontinued,Headphone,Closed Back,Dynamic,40,32,107,Yes,Yes,BOSE_QC35,BOSE_QC45,,,Over-Ear,350,V-Shaped,Wireless,No,235,Estimated
90,BOSE_QC45,21,7,QuietComfort 45,Bose QuietComfort 45,2021,,Discontinued,Headphone,Closed Back,Dynamic,40,32,107,Yes,Yes,BOSE_QC35II,BOSE_QCHP,,,Over-Ear,330,V-Shaped,Wireless,No,238,Estimated
91,BOSE_NC700,22,7,Noise Cancelling 700,Bose Noise Cancelling Headphones 700,2019,,Active,Headphone,Closed Back,Dynamic,40,32,107,Yes,Yes,,,Premium business/travel line,,Over-Ear,380,,,,,Estimated
92,BOSE_QCULTRA,21,7,QuietComfort Ultra,Bose QuietComfort Ultra Headphones,2023,,Active,Headphone,Closed Back,Dynamic,40,32,107,Yes,Yes,,BOSE_QCULTRA2,Immersive spatial audio,,Over-Ear,430,,,,,Estimated
93,BOSE_QCULTRA2,21,7,QuietComfort Ultra (2nd Gen),Bose QuietComfort Ultra Headphones (2nd Gen),2025,,Active,Headphone,Closed Back,Dynamic,40,32,107,Yes,Yes,BOSE_QCULTRA,,,,Over-Ear,450,,,,,Estimated
94,BOSE_QCHP,21,7,QuietComfort Headphones,Bose QuietComfort Headphones,2024,,Active,Headphone,Closed Back,Dynamic,40,32,107,Yes,Yes,BOSE_QC45,,,,Over-Ear,350,,,,,Estimated
95,AUDEZE_LCD2,23,8,LCD-2,Audeze LCD-2,2009,,Legacy Active,Headphone,Open Back,Planar Magnetic,106,70,101,No,No,,,The headphone that launched Audeze,,Over-Ear,1200,Warm Neutral,Dual mini-XLR,Yes,585,Verified
96,AUDEZE_LCD3,23,8,LCD-3,Audeze LCD-3,2011,,Active,Headphone,Open Back,Planar Magnetic,106,110,102,No,No,,,,,Over-Ear,2000,Warm Neutral,Dual mini-XLR,Yes,550,Verified
97,AUDEZE_LCDX,23,8,LCD-X,Audeze LCD-X,2013,,Active,Headphone,Open Back,Planar Magnetic,106,20,103,No,No,,,Studio reference,,Over-Ear,1200,Neutral,Dual mini-XLR,Yes,600,Verified
98,AUDEZE_LCDXC,23,8,LCD-XC,Audeze LCD-XC,2013,,Active,Headphone,Closed Back,Planar Magnetic,106,20,103,No,No,,,,,Over-Ear,1300,U-Shaped,Dual mini-XLR,Yes,695,Verified
99,AUDEZE_LCD4,23,8,LCD-4,Audeze LCD-4,2015,,Discontinued,Headphone,Open Back,Planar Magnetic,106,200,97,No,No,,,Former flagship,,Over-Ear,4000,Analytical,Dual mini-XLR,Yes,735,Verified
100,AUDEZE_LCD1,23,8,LCD-1,Audeze LCD-1,2020,,Active,Headphone,Open Back,Planar Magnetic,90,16,99,No,No,,,Lightweight portable planar,,Over-Ear,,,,,,Estimated
101,AUDEZE_LCD5,23,8,LCD-5,Audeze LCD-5,2021,2026,Discontinued,Headphone,Open Back,Planar Magnetic,90,14,90,No,No,,AUDEZE_LCD5S,Flagship planar; replaced by LCD-5s,,Over-Ear,4500,Warm Neutral,Dual mini-XLR,Yes,420,Verified
102,AUDEZE_LCD5S,23,8,LCD-5S,Audeze LCD-5S,2024,,Active,Headphone,Open Back,Planar Magnetic,90,14,90,No,No,AUDEZE_LCD5,,Studio-tuned LCD-5; different pad set and EQ voicing,,Over-Ear,4500,Warm Neutral,Dual mini-XLR,Yes,,Estimated
103,AUDEZE_MM500,24,8,MM-500,Audeze MM-500,2022,,Active,Studio,Open Back,Planar Magnetic,,16,100,No,No,,,Co-developed with Manny Marroquin,,Over-Ear,1500,Neutral,3.5mm,Yes,360,Verified
104,AUDEZE_MM100,24,8,MM-100,Audeze MM-100,2023,,Active,Studio,Open Back,Planar Magnetic,,16,103,No,No,,,,,Over-Ear,400,Warm Neutral,3.5mm,Yes,260,Verified
105,AUDEZE_CRBN,26,8,CRBN,Audeze CRBN,2022,,Active,Headphone,Open Back,Electrostatic,,,102,No,No,,,Carbon-nanotube electrostatic,,Over-Ear,4500,,Electrostatic,,650,Estimated
106,AUDEZE_MAXWELL,25,8,Maxwell,Audeze Maxwell,2023,,Active,Gaming,Closed Back,Planar Magnetic,,32,111,Yes,No,,AUDEZE_MAXWELL2,Wireless gaming planar,,Over-Ear,300,,,,265,Estimated
107,AUDEZE_MAXWELL2,25,8,Maxwell 2,Audeze Maxwell 2,2025,,Active,Gaming,Closed Back,Planar Magnetic,,32,111,Yes,No,AUDEZE_MAXWELL,,,,Over-Ear,,,,,,Estimated
108,HIFIMAN_HE400,27,9,HE-400,HiFiMan HE-400,2011,,Discontinued,Headphone,Open Back,Planar Magnetic,,50,92,No,No,,HIFIMAN_HE400I,,,Over-Ear,,,,,,Estimated
109,HIFIMAN_HE400I,27,9,HE-400i,HiFiMan HE-400i,2014,,Discontinued,Headphone,Open Back,Planar Magnetic,,35,93,No,No,HIFIMAN_HE400,,,,Over-Ear,250,,,,370,Estimated
110,HIFIMAN_HE400SE,27,9,HE400SE,HiFiMan HE400SE,2021,,Active,Headphone,Open Back,Planar Magnetic,,32,91,No,No,,,Budget Stealth Magnet planar,,Over-Ear,110,Neutral Bright,Dual 3.5mm,Yes,390,Verified
111,HIFIMAN_HE560,27,9,HE-560,HiFiMan HE-560,2014,,Active,Headphone,Open Back,Planar Magnetic,,50,90,No,No,,,,,Over-Ear,900,Bright,Dual 3.5mm,Yes,375,Estimated
112,HIFIMAN_HE560V4,27,9,HE-560 V4,HiFiMan HE-560 V4,2019,,Active,Headphone,Open Back,Planar Magnetic,,45,90,No,No,HIFIMAN_HE560,,Refined version 4 of the HE-560; asymmetric magnetic circuit; improved channel matching,,Over-Ear,900,Bright,Dual 3.5mm,Yes,,Estimated
113,HIFIMAN_HER10D,27,9,HE-R10D,HiFiMan HE-R10D,2018,,Active,Headphone,Closed Back,Dynamic,50,32,94,No,No,,,Dynamic closed-back flagship; 50mm topology driver; tribute to Sony R10; wood cups,,Over-Ear,6000,Warm,,,,Estimated
114,HIFIMAN_HE6SE,27,9,HE6se,HiFiMan HE6se,2018,,Active,Headphone,Open Back,Planar Magnetic,,50,86,No,No,,,Hard-to-drive planar,,Over-Ear,1800,Bright,Dual 3.5mm,Yes,458,Estimated
115,HIFIMAN_SUNDARA,32,9,Sundara,HiFiMan Sundara,2018,,Active,Headphone,Open Back,Planar Magnetic,,37,94,No,No,,,Popular mid-tier planar,,Over-Ear,350,Neutral Bright,Dual 3.5mm,Yes,372,Verified
116,HIFIMAN_ANANDA,29,9,Ananda,HiFiMan Ananda,2018,,Active,Headphone,Open Back,Planar Magnetic,,25,103,No,No,,HIFIMAN_ANANDANANO,,,Over-Ear,700,Warm Neutral,Dual 3.5mm,Yes,399,Verified
117,HIFIMAN_ANANDANANO,29,9,Ananda Nano,HiFiMan Ananda Nano,2023,,Active,Headphone,Open Back,Planar Magnetic,,16,103,No,No,HIFIMAN_ANANDA,,,,Over-Ear,,,,,,Estimated
118,HIFIMAN_ARYA,30,9,Arya,HiFiMan Arya,2018,,Active,Headphone,Open Back,Planar Magnetic,,35,91,No,No,,HIFIMAN_ARYAORGANIC,,,Over-Ear,1300,Warm Neutral,Dual 3.5mm,Yes,404,Verified
119,HIFIMAN_ARYAORGANIC,30,9,Arya Organic,HiFiMan Arya Organic,2023,,Active,Headphone,Open Back,Planar Magnetic,,32,94,No,No,HIFIMAN_ARYA,,,,Over-Ear,,,,,,Estimated
