manufacturer_id,name,country,website,status,founded_year,description
45,Yamaha,Japan,https://www.yamaha.com,Active,1887,Musical instrument giant with a deep headphone catalog. The YH-5000SE flagship uses an orthodynamic driver derived from their 1970s HP-1 and is made in Japan.
46,Pioneer,Japan,https://www.pioneer-audiovisual.com,Active,1938,"Japanese AV brand whose Pioneer DJ division produces the HDJ series, professional turntablist monitors trusted by DJs worldwide."
47,AIAIAI,Denmark,https://www.aiaiai.audio,Active,2006,"Copenhagen brand whose TMA-2 is the world's most modular headphone — mix and match 360 components including drivers, earpads, headbands, and cables."
48,1More,China,https://www.1more.com,Active,2013,Shenzhen brand tuned in collaboration with Grammy-winning engineers. The SonoFlow series delivers wireless ANC at prices that embarrass the competition.
49,Edifier,China,https://www.edifier.com,Active,1996,Beijing audio company whose STAX Spirit line brought planar magnetic technology to mid-range wireless headphones at an accessible price.
50,Cleer,USA,https://www.cleeraudio.com,Active,2012,San Diego audio brand founded by ex-JBL engineers. The Alpha uses a custom 40mm driver and targets audiophile-grade wireless performance.
51,Austrian Audio,Austria,https://austrian.audio,Active,2017,Vienna studio founded by ex-AKG engineers after the AKG Vienna facility closed. The Hi-X55 and Hi-X65 are direct spiritual successors to AKG's studio heritage.
52,Neumann,Germany,https://www.neumann.com,Active,1928,The microphone company's headphone line is aimed squarely at mastering engineers. The NDH 20 and NDH 30 offer exceptional tonal accuracy for critical listening.
53,Moondrop,China,https://moondroplab.com,Active,2015,Chengdu IEM specialist that expanded into over-ear planars with the Venus and Para. Known for anime-inspired packaging and technically rigorous tuning based on the HRTF target.
54,Sivga,China,https://www.sivgaaudio.com,Active,2016,"Chinese wood-specialist headphone maker crafting dynamic closed-backs with real rosewood, walnut, and zebrawood housings at accessible prices."
55,Sendy Audio,China,https://www.sendyaudio.com,Active,2016,Planar magnetic specialist using 97mm drivers in open-back designs. The Peacock and Aiva target the audiophile mid-fi market with premium build quality.
56,FiiO,China,https://www.fiio.com,Active,2007,Guangzhou portable audio giant best known for DACs and DAPs. The FT3 and FT5 represent their serious push into full-size headphones with large dynamic and planar drivers.
57,Spirit Torino,Italy,https://www.spirittorino.com,Active,2014,Turin boutique producing ultra-light open-back headphones designed for comfortable all-day listening. The Super Leggera is one of the lightest audiophile headphones available.
58,Warwick Acoustics,UK,https://warwickacoustics.com,Active,2011,British electrostatic specialist producing the Sonoma Model One and Aperio — complete systems with proprietary energisers built from aerospace-grade materials.
59,Mark Levinson,USA,https://www.marklevinson.com,Active,1972,American high-end audio brand whose No. 5909 wireless headphone brings luxury materials and Hi-Res Audio certification to the travel headphone market.
60,T+A,Germany,https://www.ta-hifi.de,Active,1978,Herford high-end manufacturer whose Solitaire P planar headphone features a 200mm driver array and is designed to pair with their in-house headphone amplifiers.
61,HEDD Audio,Germany,https://hedd.audio,Active,2015,Berlin studio monitor company whose HEDDphone uses Air Motion Transformer drivers — folded-membrane technology borrowed from loudspeakers for exceptionally fast transient response.
62,Grell Audio,Germany,https://grell-audio.com,Active,2021,"Founded by Axel Grell, chief developer of the Sennheiser HD 800. The OAE1 open-air earspeaker is his attempt to solve headphone imaging from first principles."
63,Ollo Audio,Slovenia,https://www.olloaudio.com,Active,2016,"Slovenian studio headphone maker offering individually tested and calibrated closed and open-back monitors, with measurement graphs shipped with each unit."
64,Monoprice,USA,https://www.monoprice.com,Active,2002,Direct-to-consumer electronics brand whose Monolith M1060 planar brought 106mm drivers to an audience that couldn't afford Audeze prices.
65,Superlux,Taiwan,https://www.superlux.com,Active,1990,"Taiwanese professional audio equipment maker whose HD 668B and HD 681 are studio-standard monitors in disguise, widely used in Chinese broadcast facilities."
66,Samson,USA,https://samsontech.com,Active,1980,New York professional audio brand whose SR850 semi-open monitor is a rebranded Superlux HD 668B — one of the most recommended budget headphones in audiophile communities.
67,Status Audio,USA,https://status.co,Active,2016,Direct-to-consumer brand cutting out retail markups. The CB-1 closed-back became a breakout product in the budget audiophile market.
68,Jabra,Denmark,https://www.jabra.com,Active,1993,GN Audio's communications headset brand trusted in enterprise and contact centre environments. The Evolve2 series is engineered for all-day wearing comfort.
69,Harman Kardon,USA,https://www.harmankardon.com,Active,1953,American audio brand known for premium design. The SOHO on-ear represents a premium lifestyle offering combining Harman's speaker tuning with a portable form factor.
70,Oppo,USA,https://www.oppodigital.com,Discontinued,2004,Californian electronics company whose PM-1 and PM-3 planar headphones were critically acclaimed before the brand's closure in 2018. Now sought-after on the used market.
71,Creative,Singapore,https://us.creative.com,Active,1981,Singapore technology company whose Sound Blaster brand shaped PC audio. The Aurvana Live! uses a biodynamic driver co-developed with Foster Electric.
72,Rode,Australia,https://rode.com,Active,1967,Sydney microphone company whose NTH-100 studio headphone was developed with DSP-calibrated tuning via the NTH-Mic measurement system.
73,Klipsch,USA,https://www.klipsch.com,Active,1946,Arkansas speaker company whose Heritage HP-3 headphone uses a wooden cup design inspired by their classic horn-loaded loudspeakers.
74,RAAL,USA,https://raalrequisite.com,Active,2007,Ribbon driver specialist producing the SR1a — a headphone that uses a true ribbon transducer and requires a special interface for conventional amplifier connection.
75,HarmonicDyne,China,https://harmonicdyne.com,Active,2019,"Chengdu audiophile brand producing the G200, a large-scale open planar headphone with a distinctive hexagonal driver architecture."
76,PSB,Canada,https://www.psbspeakers.com,Active,1972,Canadian speaker company whose M4U series headphones apply speaker engineering principles and active Room Feel correction to headphone acoustics.
77,E-Mu,USA,https://us.creative.com,Discontinued,1971,California synthesiser pioneer whose headphone line used biodynamic drivers co-developed with Foster Electric. The Teak and Rosewood are now collector items.
78,Audioquest,USA,https://www.audioquest.com,Active,1980,Cable and accessory specialist whose NightOwl and NightHawk used Foster biodynamic drivers in carbon fibre and wood housings before the line was discontinued.
79,NAD,Canada,https://nadelectronics.com,Active,1972,Canadian electronics brand whose VISO HP50 used RoomFeel target curve technology — an early attempt to apply room-corrected tuning to headphone listening.
80,Brainwavz,China,https://www.brainwavzaudio.com,Active,2005,"Hong Kong audio brand best known for replacement earpads compatible with hundreds of headphones, and the HM5 studio monitor."
81,Modhouse Audio,USA,https://modhouse.io,Active,2015,"Wisconsin modification workshop building the Argon — a T50RP Mk2 base fitted with a proprietary driver tuned for a warm, musical presentation. Waitlists measured in months."
82,Kiwi Ears,China,https://www.kiwiears.com,Active,2020,"Young Chinese audio brand with rapid product cadence. The Ardor open planar earned strong reviews at its price, drawing comparisons to headphones costing three times as much."
83,Plantronics,USA,https://www.poly.com,Active,1961,"Communications headset pioneer whose BackBeat line brought Bluetooth comfort to the office market. Merged with Polycom to form Poly, now part of HP."
84,Phiaton,South Korea,https://www.phiaton.com,Active,2009,Korean premium audio brand producing the MS 530 — one of the earliest commercially successful wireless ANC headphones with Bluetooth at launch.
85,Teufel,Germany,https://www.teufel.de,Active,1979,Berlin direct-sales speaker brand whose Real Blue NC offers competitive ANC performance at prices below the major consumer brands.
86,House of Marley,USA,https://www.thehouseofmarley.com,Active,2010,"Bob Marley estate brand producing headphones from sustainable materials including bamboo, hemp, and recycled plastics. Donates to environmental causes."
87,Cooler Master,Taiwan,https://www.coolermaster.com,Active,1992,PC cooling and peripheral brand whose MH751 became a surprise hit in gaming headset communities for its studio-driver-based sound quality at a modest price.
88,JVC,Japan,https://www.jvc.com,Active,1927,"Victor Company of Japan, known for the HA-DX1000 and HA-DX2000 mahogany wood-cup flagship closed-backs and the HA-SW series isodynamic planars."
89,Tago Studio,Japan,https://tagostudio.com,Active,2019,Small Japanese studio headphone maker offering individually serial-numbered monitors using high-powered 1.5T Neodymium drivers. Made in Japan.
90,Takstar,China,https://www.takstar.com,Active,2001,Guangzhou professional audio company whose Pro 80 is the OEM basis for many rebranded studio monitors worldwide. The HF580 planar punches above its category.
91,Goldplanar,China,https://goldplanar.com,Active,2020,Chinese planar magnetic specialist producing the GL2000 — a dual-sided planar with a 68mm driver that delivers competitive performance at a budget price.
92,MySphere,Austria,https://mysphere.at,Active,2018,"Vienna-based audio engineering project by Heinz Renner, former chief engineer at AKG. The MySphere 3 is the spiritual successor to the AKG K1000 open-air earspeaker."
93,Panasonic,Japan,https://www.panasonic.com,Active,1918,Japanese electronics conglomerate with a modest headphone catalog. The RP-HD10 is their most audiophile-focused recent offering.
94,Crosszone,Japan,https://crosszone.jp,Active,2016,Niche Japanese brand producing headphones with built-in acoustic crossfeed. The CZ-1 uses secondary in-ear drivers to simulate the inter-channel crosstalk of loudspeaker listening.
